variable,dataFile,keepDiscard,notesForDL,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,flag,notesForProvider,uniqueVar
mstatus,BC-3 mothers delivery database FINAL,keep,,Malaria status,"0=No malaria
1=Uncomplicated(AL)
2=Complicated malaria(Quinine)
3=AL treatment failure
4=Quinine/artesunate treatment failure",NA,,,,,BC-3 mothers delivery database FINAL::mstatus
mstatus,BC-3 mothers expanded database FINAL,discard,,Malaria status,"0=No malaria,1=Uncomplicated(AL),2=Complicated malaria(Quinine),3=AL treatment failure,4=Quinine/artesunate treatment failure",NA,,,,DROP - Use all visits,BC-3 mothers expanded database FINAL::mstatus
mstatus,BC-3 childs all visit database FINAL,keep,,Malaria status,"0=No Malaria diagnosed today,
1=Uncomplicated malaria treated with AL,
2=Complicated malaria treated with quinine",NA,,,,,BC-3 childs all visit database FINAL::mstatus
mstatus,BC-3 childs expanded database FINAL,discard,,Malaria status,"0=No malaria,1=Uncomplicated(AL),2=Complicated malaria(Quinine),3=AL treatment failure,4=Quinine/artesunate treatment failure",NA,,,,,BC-3 childs expanded database FINAL::mstatus
mtest1,BC-3 mothers all visits database FINAL,discard,,1 mtest,,NA,,,,DROP - Use expanded,BC-3 mothers all visits database FINAL::mtest1
mtest1,BC-3 mothers delivery database FINAL,keep,,Heel stick for metabolic testing,"0=Not collected, 1=Collected",NA,,,,metabolic testing done on infant 1,BC-3 mothers delivery database FINAL::mtest1
mtest1,BC-3 mothers expanded database FINAL,keep,,1 mtest,"0=No,1=Yes",NA,,,,metabolic testing done on infant 1,BC-3 mothers expanded database FINAL::mtest1
mtest2,BC-3 mothers all visits database FINAL,discard,,2 mtest,,NA,,,,DROP - Use expanded,BC-3 mothers all visits database FINAL::mtest2
mtest2,BC-3 mothers delivery database FINAL,keep,,Heel stick for metabolic testing,"0=Not collected, 1=Collected",NA,,,,metabolic testing done on infant 2,BC-3 mothers delivery database FINAL::mtest2
mtest2,BC-3 mothers expanded database FINAL,keep,,2 mtest,"0=No,1=Yes",NA,,,,metabolic testing done on infant 2,BC-3 mothers expanded database FINAL::mtest2
mthfcty,BC3_Household_Survey_Data,keep,,"if you were to go this facility,how would you most likely go there?","1=car/motorcycle, 2=public transport, 4=walking, 5=bicycle, 8=Don’t know, -9=skipped",NA,,,,,BC3_Household_Survey_Data::mthfcty
multigest,BC-3 enrollment database FINAL,keep,,Multiple gestation,"0 = No,
1=Yes",NA,,,,,BC-3 enrollment database FINAL::multigest
mwithin1d,BC-3 enrollment database FINAL,discard,,Is the mother within 1 day before or after 16 or 20 weeks gestational age?,"0 = No,
1=Yes",NA,,,,DROP - not of interest,BC-3 enrollment database FINAL::mwithin1d
n,BC-3 mothers expanded database FINAL,keep,,day of observation,,NA,,,,,BC-3 mothers expanded database FINAL::n
n,BC-3 childs expanded database FINAL,discard,,total days of observation,,NA,,,,,BC-3 childs expanded database FINAL::n
namehosp,BC-3 childs hospitalizations FINAL,keep,,Hospital,"1=Masafu General Hospital,
2=Tororo General District Hospital ,  
3=Mbale Regional Referral Hospital,
4=Mulago National Referral Hospital,
5=Cure Children’s Hospital,
6=Other",NA,,,,,BC-3 childs hospitalizations FINAL::namehosp
nausdur,BC-3 enrollment database FINAL,discard,,Nausea Duration,,NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::nausdur
nausdur,BC-3 mothers all visits database FINAL,keep,,Nausea Duration,,NA,,,,,BC-3 mothers all visits database FINAL::nausdur
nausgrade,BC-3 enrollment database FINAL,discard,,"Nausea Grade: Rank on a scale of 0-4, absent = 0, mild, = 1, moderate = 2, severe = 3 life-threatening = 4, N/A = unable to assess","0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::nausgrade
nausgrade,BC-3 mothers all visits database FINAL,keep,,"Nausea Grade: Rank on a scale of 0-4, absent = 0, mild, = 1, moderate = 2, severe = 3 life-threatening = 4, N/A = unable to assess","0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,,BC-3 mothers all visits database FINAL::nausgrade
ndiag1,BC-3 mothers delivery database FINAL,discard,,Diagnosis1,,NA,,,,DROP - Use diag1 from all visits,BC-3 mothers delivery database FINAL::ndiag1
ndiag2,BC-3 mothers delivery database FINAL,discard,,Diagnosis2,,NA,,,,DROP - Use diag2 from all visits,BC-3 mothers delivery database FINAL::ndiag2
ndiag3,BC-3 mothers delivery database FINAL,discard,,Diagnosis3,,NA,,,,All NA's,BC-3 mothers delivery database FINAL::ndiag3
ndiag4,BC-3 mothers delivery database FINAL,discard,,Diagnosis4,,NA,,,,All NA's,BC-3 mothers delivery database FINAL::ndiag4
ndiag5,BC-3 mothers delivery database FINAL,discard,,Diagnosis5,,NA,,,,All NA's,BC-3 mothers delivery database FINAL::ndiag5
neonataldeath,BC-3 mothers delivery database FINAL,keep,,Death of live infant by 28 days,"0,1",NA,,,,,BC-3 mothers delivery database FINAL::neonataldeath
neonataldeath,Individual level database FINAL,discard,,Death of live infant by 28 days,"0,1",NA,,,,,Individual level database FINAL::neonataldeath
netlastnight,BC-3 enrollment database FINAL,keep,,Did you sleep under a bednet last night?,"0=No,
1=Yes,99=N/A",NA,,,,,BC-3 enrollment database FINAL::netlastnight
netlastnight,BC3_Household_Survey_Data,keep,,Did you sleep under a bednet last night?,"0=No, 1=Yes      ",NA,,,,,BC3_Household_Survey_Data::netlastnight
nettreated,BC-3 enrollment database FINAL,keep,,Is the bednet insectcide treated?,"0=No,
1=Yes,
9=Unknown,99=N/A",NA,,,,,BC-3 enrollment database FINAL::nettreated
neuro,BC-3 enrollment database FINAL,discard,,Neuro,,NA,,,,All NA's,BC-3 enrollment database FINAL::neuro
neuro,BC-3 mothers all visits database FINAL,keep,,Neuro,,NA,,,,,BC-3 mothers all visits database FINAL::neuro
neuro,BC-3 childs all visit database FINAL,keep,,Neuro,,NA,,,,,BC-3 childs all visit database FINAL::neuro
neurodur,BC-3 enrollment database FINAL,discard,,Neuro Duration,,NA,,,,All NA's,BC-3 enrollment database FINAL::neurodur
neurodur,BC-3 mothers all visits database FINAL,keep,,Neuro Duration,,NA,,,,,BC-3 mothers all visits database FINAL::neurodur
neurodur,BC-3 childs all visit database FINAL,keep,,Neuro Duration,,NA,,,,,BC-3 childs all visit database FINAL::neurodur
neurograde,BC-3 enrollment database FINAL,discard,,Neuro Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,All NA's,BC-3 enrollment database FINAL::neurograde
neurograde,BC-3 mothers all visits database FINAL,keep,,Neuro Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,,BC-3 mothers all visits database FINAL::neurograde
neurograde,BC-3 childs all visit database FINAL,keep,,Neuro Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,,BC-3 childs all visit database FINAL::neurograde
neutro,BC-3 enrollment database FINAL,discard,,Neutrophils,,NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::neutro
neutro,BC-3 mothers all visits database FINAL,keep,,Neutrophils result,,NA,,,,,BC-3 mothers all visits database FINAL::neutro
neutro,BC-3 mothers delivery database FINAL,keep,,Neutrophils,,NA,,,,,BC-3 mothers delivery database FINAL::neutro
neutro,BC-3 mothers expanded database FINAL,discard,,Neutrophils result,,NA,,,,DROP - Use all visits,BC-3 mothers expanded database FINAL::neutro
neutro,BC-3 childs all visit database FINAL,keep,,Neutrophils result,,NA,,,,,BC-3 childs all visit database FINAL::neutro
neutro,BC-3 childs expanded database FINAL,discard,,Neutrophils result,,NA,,,,DROP - Use all visits,BC-3 childs expanded database FINAL::neutro
neutrograde,BC-3 enrollment database FINAL,discard,,Neutrophils grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",NA,,,,DROP - not of interest,BC-3 enrollment database FINAL::neutrograde
neutrograde,BC-3 mothers all visits database FINAL,discard,,neutropils grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",NA,,,,DROP - not of interest,BC-3 mothers all visits database FINAL::neutrograde
neutrograde,BC-3 mothers delivery database FINAL,discard,,Neutrophils grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",NA,,,,DROP - not of interest,BC-3 mothers delivery database FINAL::neutrograde
neutrograde,BC-3 childs all visit database FINAL,keep,,neutropils grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",NA,,,,,BC-3 childs all visit database FINAL::neutrograde
nextage,BC-3 childs all visit database FINAL,discard,,age at next routine visit,,NA,,,,,BC-3 childs all visit database FINAL::nextage
nextvst,BC-3 enrollment database FINAL,discard,,Date of next scheduled clinic visit:,date,NA,,,,DROP - not of interest,BC-3 enrollment database FINAL::nextvst
nextvst,BC-3 mothers all visits database FINAL,discard,,date of next scheduled clinic visit,date,NA,,,,DROP - not of interest,BC-3 mothers all visits database FINAL::nextvst
nextvst,BC-3 mothers delivery database FINAL,discard,,Date of next scheduled clinic visit,date,NA,,,,DROP - not of interest,BC-3 mothers delivery database FINAL::nextvst
nextvst,BC-3 childs all visit database FINAL,keep,,date of next scheduled clinic visit,date,NA,,,,,BC-3 childs all visit database FINAL::nextvst
nmed1,BC-3 enrollment database FINAL,discard,,Medication Code,,NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::nmed1
nmed1,BC-3 mothers all visits database FINAL,keep,,new medication1,,NA,,,,,BC-3 mothers all visits database FINAL::nmed1
nmed1,BC-3 mothers delivery database FINAL,keep,,Medication at discharge1,,NA,,,,,BC-3 mothers delivery database FINAL::nmed1
nmed1,BC-3 childs all visit database FINAL,keep,,new medication1,,NA,,,,Medication vs. treatment? Check,BC-3 childs all visit database FINAL::nmed1
nmed1,BC-3 childs expanded database FINAL,discard,,new medication1,,NA,,,,DROP - Use all visits,BC-3 childs expanded database FINAL::nmed1
nmed2,BC-3 enrollment database FINAL,discard,,Medication Code,,NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::nmed2
nmed2,BC-3 mothers all visits database FINAL,keep,,new medication2,,NA,,,,,BC-3 mothers all visits database FINAL::nmed2
nmed2,BC-3 mothers delivery database FINAL,keep,,Medication at discharge2,,NA,,,,,BC-3 mothers delivery database FINAL::nmed2
nmed2,BC-3 childs all visit database FINAL,keep,,new medication2,,NA,,,,Medication vs. treatment? Check,BC-3 childs all visit database FINAL::nmed2
nmed2,BC-3 childs expanded database FINAL,discard,,new medication2,,NA,,,,DROP - Use all visits,BC-3 childs expanded database FINAL::nmed2
nmed3,BC-3 enrollment database FINAL,discard,,Medication Code,,NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::nmed3
nmed3,BC-3 mothers all visits database FINAL,keep,,new medication3,,NA,,,,,BC-3 mothers all visits database FINAL::nmed3
nmed3,BC-3 mothers delivery database FINAL,keep,,Medication at discharge3,,NA,,,,,BC-3 mothers delivery database FINAL::nmed3
nmed3,BC-3 childs all visit database FINAL,keep,,new medication3,,NA,,,,Medication vs. treatment? Check,BC-3 childs all visit database FINAL::nmed3
nmed3,BC-3 childs expanded database FINAL,discard,,new medication3,,NA,,,,DROP - Use all visits,BC-3 childs expanded database FINAL::nmed3
nmed4,BC-3 enrollment database FINAL,discard,,Medication Code,,NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::nmed4
nmed4,BC-3 mothers all visits database FINAL,keep,,new medication4,,NA,,,,,BC-3 mothers all visits database FINAL::nmed4
nmed4,BC-3 mothers delivery database FINAL,keep,,Medication at discharge4,,NA,,,,,BC-3 mothers delivery database FINAL::nmed4
nmed4,BC-3 childs all visit database FINAL,keep,,new medication4,,NA,,,,Medication vs. treatment? Check,BC-3 childs all visit database FINAL::nmed4
nmed4,BC-3 childs expanded database FINAL,discard,,new medication4,,NA,,,,DROP - Use all visits,BC-3 childs expanded database FINAL::nmed4
nmed5,BC-3 enrollment database FINAL,discard,,Medication Code,,NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::nmed5
nmed5,BC-3 mothers all visits database FINAL,keep,,new medication5,,NA,,,,,BC-3 mothers all visits database FINAL::nmed5
nmed5,BC-3 mothers delivery database FINAL,discard,,Medication at discharge5,,NA,,,,All NA's,BC-3 mothers delivery database FINAL::nmed5
nmed5,BC-3 childs all visit database FINAL,keep,,new medication5,,NA,,,,Medication vs. treatment? Check,BC-3 childs all visit database FINAL::nmed5
nmed5,BC-3 childs expanded database FINAL,discard,,new medication5,,NA,,,,DROP - Use all visits,BC-3 childs expanded database FINAL::nmed5
nmed6,BC-3 enrollment database FINAL,discard,,Medication Code,,NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::nmed6
nmed6,BC-3 mothers all visits database FINAL,keep,,new medication6,,NA,,,,,BC-3 mothers all visits database FINAL::nmed6
nmed6,BC-3 childs all visit database FINAL,keep,,new medication6,,NA,,,,Medication vs. treatment? Check,BC-3 childs all visit database FINAL::nmed6
nmed6,BC-3 childs expanded database FINAL,discard,,new medication6,,NA,,,,DROP - Use all visits,BC-3 childs expanded database FINAL::nmed6
nmed7,BC-3 enrollment database FINAL,discard,,Medication Code,,NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::nmed7
nmed7,BC-3 mothers all visits database FINAL,keep,,new medication7,,NA,,,,,BC-3 mothers all visits database FINAL::nmed7
nmed7,BC-3 childs all visit database FINAL,keep,,new medication7,,NA,,,,Medication vs. treatment? Check,BC-3 childs all visit database FINAL::nmed7
nmed7,BC-3 childs expanded database FINAL,discard,,new medication7,,NA,,,,DROP - Use all visits,BC-3 childs expanded database FINAL::nmed7
nobs,BC-3 childs all visit database FINAL,discard,,,,NA,,,,,BC-3 childs all visit database FINAL::nobs
nocord,BC-3 mothers delivery database FINAL,keep,,Number of cords collected,N/A,NA,,,,,BC-3 mothers delivery database FINAL::nocord
noinfants,BC-3 mothers delivery database FINAL,discard,,Number of infants,,NA,,,,DROP - Use individual,BC-3 mothers delivery database FINAL::noinfants
noinfants,Individual level database FINAL,keep,,Number of infants,"1,2",NA,,,,,Individual level database FINAL::noinfants
nomboat,BC3_Household_Survey_Data,keep,,a boat without a  motor?,"1=Yes, 2=No, -9=Skipped",NA,,,,,BC3_Household_Survey_Data::nomboat
noplas,BC-3 mothers delivery database FINAL,discard,,Number of placentas collected,,NA,,,,DROP - Use individual,BC-3 mothers delivery database FINAL::noplas
noplas,Individual level database FINAL,keep,,Number of placentas,"1,2",NA,,,,,Individual level database FINAL::noplas
notapp,BC-3 mothers delivery database FINAL,discard,,Presentation to hospital is NOT Applicable,1=ticked,NA,,,,DROP - not of interest,BC-3 mothers delivery database FINAL::notapp
nrvisit,BC-3 mothers all visits database FINAL,discard,,Type of next scheduled visit,"0=Non-routine visit,
1=Routine visit",NA,,,,DROP - not of interest,BC-3 mothers all visits database FINAL::nrvisit
nrvisit,BC-3 childs all visit database FINAL,discard,,Type of next scheduled visit,"0=Non-routine visit,
1=Routine visit",NA,,,,,BC-3 childs all visit database FINAL::nrvisit
nthung1,BC3_Household_Survey_Data,discard,,"if net1 was not hung, why not?","1=nowhere to hung, 6=Don’t want to hang, 7=extra net/used for visitor/owner not home, 96=other, -9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::nthung1
nthung10,BC3_Household_Survey_Data,discard,,"if net10 was not hung, why not?","1=nowhere to hung, 6=Don’t want to hang, 7=extra net/used for visitor/owner not home, 96=other, -9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::nthung10
nthung2,BC3_Household_Survey_Data,discard,,"if net2 was not hung, why not?","1=nowhere to hung, 6=Don’t want to hang, 7=extra net/used for visitor/owner not home, 96=other, -9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::nthung2
nthung3,BC3_Household_Survey_Data,discard,,"if net3 was not hung, why not?","1=nowhere to hung, 6=Don’t want to hang, 7=extra net/used for visitor/owner not home, 96=other, -9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::nthung3
nthung4,BC3_Household_Survey_Data,discard,,"if net4 was not hung, why not?","1=nowhere to hung, 6=Don’t want to hang, 7=extra net/used for visitor/owner not home, 96=other, -9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::nthung4
nthung5,BC3_Household_Survey_Data,discard,,"if net5 was not hung, why not?","1=nowhere to hung, 6=Don’t want to hang, 7=extra net/used for visitor/owner not home, 96=other, -9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::nthung5
nthung6,BC3_Household_Survey_Data,discard,,"if net6 was not hung, why not?","1=nowhere to hung, 6=Don’t want to hang, 7=extra net/used for visitor/owner not home, 96=other, -9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::nthung6
