variable,dataFile,keepDiscard,notesForDL,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,flag,notesForProvider,uniqueVar,IRI,Label,definition,category,parentLabel,parentIRI,termType
nuseda4,BC3_Household_Survey_Data,SKIP,,Reason why this net4 was not used : too hot,"1=yes, 2=no, -9= skipped",,,,,,nuseda4|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000217,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021098,variable
nuseda5,BC3_Household_Survey_Data,SKIP,,Reason why this net5 was not used : too hot,"1=yes, 2=no, -9= skipped",,,,,,nuseda5|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000217,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021098,variable
nuseda6,BC3_Household_Survey_Data,SKIP,,Reason why this net6 was not used : too hot,"1=yes, 2=no, -9= skipped",,,,,,nuseda6|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000217,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021098,variable
nuseda7,BC3_Household_Survey_Data,SKIP,,Reason why this net7 was not used : too hot,"1=yes, 2=no, -9= skipped",,,,,,nuseda7|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000217,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021098,variable
nuseda8,BC3_Household_Survey_Data,SKIP,,Reason why this net8 was not used : too hot,"1=yes, 2=no, -9= skipped",,,,,,nuseda8|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000217,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021098,variable
nuseda9,BC3_Household_Survey_Data,SKIP,,Reason why this net9 was not used : too hot,"1=yes, 2=no, -9= skipped",,,,,,nuseda9|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000217,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021098,variable
nusedb1,BC3_Household_Survey_Data,SKIP,,Reason why this net1 was not used : dont like smell,"1=yes, 2=no, -9= skipped",,,,,,nusedb1|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000218,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021099,variable
nusedb10,BC3_Household_Survey_Data,SKIP,,Reason why this net10 was not used : dont like smell,"1=yes, 2=no, -9= skipped",,,,,,nusedb10|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000218,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021099,variable
nusedb2,BC3_Household_Survey_Data,SKIP,,Reason why this net2 was not used : dont like smell,"1=yes, 2=no, -9= skipped",,,,,,nusedb2|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000218,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021099,variable
nusedb3,BC3_Household_Survey_Data,SKIP,,Reason why this net3 was not used : dont like smell,"1=yes, 2=no, -9= skipped",,,,,,nusedb3|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000218,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021099,variable
nusedb4,BC3_Household_Survey_Data,SKIP,,Reason why this net4 was not used : dont like smell,"1=yes, 2=no, -9= skipped",,,,,,nusedb4|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000218,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021099,variable
nusedb5,BC3_Household_Survey_Data,SKIP,,Reason why this net5 was not used : dont like smell,"1=yes, 2=no, -9= skipped",,,,,,nusedb5|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000218,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021099,variable
nusedb6,BC3_Household_Survey_Data,SKIP,,Reason why this net6 was not used : dont like smell,"1=yes, 2=no, -9= skipped",,,,,,nusedb6|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000218,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021099,variable
nusedb7,BC3_Household_Survey_Data,SKIP,,Reason why this net7 was not used : dont like smell,"1=yes, 2=no, -9= skipped",,,,,,nusedb7|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000218,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021099,variable
nusedb8,BC3_Household_Survey_Data,SKIP,,Reason why this net8 was not used : dont like smell,"1=yes, 2=no, -9= skipped",,,,,,nusedb8|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000218,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021099,variable
nusedb9,BC3_Household_Survey_Data,SKIP,,Reason why this net9 was not used : dont like smell,"1=yes, 2=no, -9= skipped",,,,,,nusedb9|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000218,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021099,variable
nusedc1,BC3_Household_Survey_Data,SKIP,,Reason why this net1 was not used : no mosquitoes,"1=yes, 2=no, -9= skipped",,,,,,nusedc1|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000219,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021100,variable
nusedc10,BC3_Household_Survey_Data,SKIP,,Reason why this net10 was not used : no mosquitoes,"1=yes, 2=no, -9= skipped",,,,,,nusedc10|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000219,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021100,variable
nusedc2,BC3_Household_Survey_Data,SKIP,,Reason why this net2 was not used : no mosquitoes,"1=yes, 2=no, -9= skipped",,,,,,nusedc2|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000219,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021100,variable
nusedc3,BC3_Household_Survey_Data,SKIP,,Reason why this net3 was not used : no mosquitoes,"1=yes, 2=no, -9= skipped",,,,,,nusedc3|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000219,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021100,variable
nusedc4,BC3_Household_Survey_Data,SKIP,,Reason why this net4 was not used : no mosquitoes,"1=yes, 2=no, -9= skipped",,,,,,nusedc4|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000219,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021100,variable
nusedc5,BC3_Household_Survey_Data,SKIP,,Reason why this net5 was not used : no mosquitoes,"1=yes, 2=no, -9= skipped",,,,,,nusedc5|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000219,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021100,variable
nusedc6,BC3_Household_Survey_Data,SKIP,,Reason why this net6 was not used : no mosquitoes,"1=yes, 2=no, -9= skipped",,,,,,nusedc6|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000219,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021100,variable
nusedc7,BC3_Household_Survey_Data,SKIP,,Reason why this net7 was not used : no mosquitoes,"1=yes, 2=no, -9= skipped",,,,,,nusedc7|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000219,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021100,variable
nusedc8,BC3_Household_Survey_Data,SKIP,,Reason why this net8 was not used : no mosquitoes,"1=yes, 2=no, -9= skipped",,,,,,nusedc8|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000219,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021100,variable
nusedc9,BC3_Household_Survey_Data,SKIP,,Reason why this net9 was not used : no mosquitoes,"1=yes, 2=no, -9= skipped",,,,,,nusedc9|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000219,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021100,variable
nusedd1,BC3_Household_Survey_Data,SKIP,,Reason why this net1 was not used : net too old/too many holes,"1=yes, 2=no, -9= skipped",,,,,,nusedd1|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000220,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021101,variable
nusedd10,BC3_Household_Survey_Data,SKIP,,Reason why this net10 was not used : net too old/too many holes,"1=yes, 2=no, -9= skipped",,,,,,nusedd10|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000220,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021101,variable
nusedd2,BC3_Household_Survey_Data,SKIP,,Reason why this net2 was not used : net too old/too many holes,"1=yes, 2=no, -9= skipped",,,,,,nusedd2|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000220,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021101,variable
nusedd3,BC3_Household_Survey_Data,SKIP,,Reason why this net3 was not used : net too old/too many holes,"1=yes, 2=no, -9= skipped",,,,,,nusedd3|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000220,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021101,variable
nusedd4,BC3_Household_Survey_Data,SKIP,,Reason why this net4 was not used : net too old/too many holes,"1=yes, 2=no, -9= skipped",,,,,,nusedd4|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000220,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021101,variable
nusedd5,BC3_Household_Survey_Data,SKIP,,Reason why this net5 was not used : net too old/too many holes,"1=yes, 2=no, -9= skipped",,,,,,nusedd5|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000220,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021101,variable
nusedd6,BC3_Household_Survey_Data,SKIP,,Reason why this net6 was not used : net too old/too many holes,"1=yes, 2=no, -9= skipped",,,,,,nusedd6|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000220,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021101,variable
nusedd7,BC3_Household_Survey_Data,SKIP,,Reason why this net7 was not used : net too old/too many holes,"1=yes, 2=no, -9= skipped",,,,,,nusedd7|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000220,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021101,variable
nusedd8,BC3_Household_Survey_Data,SKIP,,Reason why this net8 was not used : net too old/too many holes,"1=yes, 2=no, -9= skipped",,,,,,nusedd8|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000220,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021101,variable
nusedd9,BC3_Household_Survey_Data,SKIP,,Reason why this net9 was not used : net too old/too many holes,"1=yes, 2=no, -9= skipped",,,,,,nusedd9|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000220,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021101,variable
nusede1,BC3_Household_Survey_Data,SKIP,,Reason why this net1 was not used : net not  hung,"1=yes, 2=no, -9= skipped",,,,,,nusede1|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000221,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021102,variable
nusede10,BC3_Household_Survey_Data,SKIP,,Reason why this net10 was not used : net not  hung,"1=yes, 2=no, -9= skipped",,,,,,nusede10|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000221,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021102,variable
nusede2,BC3_Household_Survey_Data,SKIP,,Reason why this net2 was not used : net not  hung,"1=yes, 2=no, -9= skipped",,,,,,nusede2|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000221,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021102,variable
nusede3,BC3_Household_Survey_Data,SKIP,,Reason why this net3 was not used : net not  hung,"1=yes, 2=no, -9= skipped",,,,,,nusede3|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000221,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021102,variable
nusede4,BC3_Household_Survey_Data,SKIP,,Reason why this net4 was not used : net not  hung,"1=yes, 2=no, -9= skipped",,,,,,nusede4|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000221,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021102,variable
nusede5,BC3_Household_Survey_Data,SKIP,,Reason why this net5 was not used : net not  hung,"1=yes, 2=no, -9= skipped",,,,,,nusede5|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000221,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021102,variable
nusede6,BC3_Household_Survey_Data,SKIP,,Reason why this net6 was not used : net not  hung,"1=yes, 2=no, -9= skipped",,,,,,nusede6|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000221,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021102,variable
nusede7,BC3_Household_Survey_Data,SKIP,,Reason why this net7 was not used : net not  hung,"1=yes, 2=no, -9= skipped",,,,,,nusede7|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000221,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021102,variable
nusede8,BC3_Household_Survey_Data,SKIP,,Reason why this net8 was not used : net not  hung,"1=yes, 2=no, -9= skipped",,,,,,nusede8|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000221,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021102,variable
nusede9,BC3_Household_Survey_Data,SKIP,,Reason why this net9 was not used : net not  hung,"1=yes, 2=no, -9= skipped",,,,,,nusede9|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000221,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021102,variable
nusedf1,BC3_Household_Survey_Data,SKIP,,Reason why this net1 was not used : net too dirty,"1=yes, 2=no, -9= skipped",,,,,,nusedf1|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000222,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021103,variable
nusedf10,BC3_Household_Survey_Data,SKIP,,Reason why this net10 was not used : net too dirty,"1=yes, 2=no, -9= skipped",,,,,,nusedf10|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000222,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021103,variable
nusedf2,BC3_Household_Survey_Data,SKIP,,Reason why this net2 was not used : net too dirty,"1=yes, 2=no, -9= skipped",,,,,,nusedf2|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000222,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021103,variable
nusedf3,BC3_Household_Survey_Data,SKIP,,Reason why this net3 was not used : net too dirty,"1=yes, 2=no, -9= skipped",,,,,,nusedf3|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000222,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021103,variable
nusedf4,BC3_Household_Survey_Data,SKIP,,Reason why this net4 was not used : net too dirty,"1=yes, 2=no, -9= skipped",,,,,,nusedf4|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000222,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021103,variable
nusedf5,BC3_Household_Survey_Data,SKIP,,Reason why this net5 was not used : net too dirty,"1=yes, 2=no, -9= skipped",,,,,,nusedf5|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000222,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021103,variable
nusedf6,BC3_Household_Survey_Data,SKIP,,Reason why this net6 was not used : net too dirty,"1=yes, 2=no, -9= skipped",,,,,,nusedf6|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000222,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021103,variable
nusedf7,BC3_Household_Survey_Data,SKIP,,Reason why this net7 was not used : net too dirty,"1=yes, 2=no, -9= skipped",,,,,,nusedf7|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000222,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021103,variable
nusedf8,BC3_Household_Survey_Data,SKIP,,Reason why this net8 was not used : net too dirty,"1=yes, 2=no, -9= skipped",,,,,,nusedf8|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000222,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021103,variable
nusedf9,BC3_Household_Survey_Data,SKIP,,Reason why this net9 was not used : net too dirty,"1=yes, 2=no, -9= skipped",,,,,,nusedf9|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000222,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021103,variable
nusedg1,BC3_Household_Survey_Data,SKIP,,Reason why this net1 was not used : net no longer kill insects,"1=yes, 2=no, -9= skipped",,,,,,nusedg1|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000223,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021104,variable
nusedg10,BC3_Household_Survey_Data,SKIP,,Reason why this net10 was not used : net no longer kill insects,"1=yes, 2=no, -9= skipped",,,,,,nusedg10|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000223,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021104,variable
nusedg2,BC3_Household_Survey_Data,SKIP,,Reason why this net2 was not used : net no longer kill insects,"1=yes, 2=no, -9= skipped",,,,,,nusedg2|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000223,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021104,variable
nusedg3,BC3_Household_Survey_Data,SKIP,,Reason why this net3 was not used : net no longer kill insects,"1=yes, 2=no, -9= skipped",,,,,,nusedg3|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000223,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021104,variable
